AUS2, 2020, D0_14, m, 1, 4.4
AUS2, 2020, D0_14, m, 2, 4.9
AUS2, 2020, D0_14, m, 3, 4.3
AUS2, 2020, D0_14, m, 4, 4.5
AUS2, 2020, D0_14, m, 5, 3.6
AUS2, 2020, D0_14, m, 6, 4.2
AUS2, 2020, D0_14, m, 7, 4.6
AUS2, 2020, D0_14, m, 8, 5.5
AUS2, 2020, D0_14, m, 9, 4.4
AUS2, 2020, D0_14, m, 10, 4.9
AUS2, 2020, D0_14, m, 11, 4.4
AUS2, 2020, D0_14, m, 12, 4.5
AUS2, 2020, D0_14, m, 13, 4.2
AUS2, 2020, D0_14, m, 14, 4.4
AUS2, 2020, D0_14, m, 15, 3.9
AUS2, 2020, D0_14, m, 16, 4.5
AUS2, 2020, D0_14, m, 17, 4.7
AUS2, 2020, D0_14, m, 18, 4.4
AUS2, 2020, D0_14, m, 19, 4.0
AUS2, 2020, D0_14, m, 20, 4.4
AUS2, 2020, D0_14, m, 21, 4.2
AUS2, 2020, D0_14, m, 22, 4.8
AUS2, 2020, D0_14, m, 23, 5.4
AUS2, 2020, D0_14, m, 24, 4.8
AUS2, 2020, D0_14, m, 25, 4.3
AUS2, 2020, D0_14, m, 26, 4.6
AUS2, 2020, D0_14, m, 27, 5.2
AUS2, 2020, D0_14, m, 28, 5.0
AUS2, 2020, D0_14, m, 29, 4.8
AUS2, 2020, D0_14, m, 30, 4.7
AUS2, 2020, D0_14, m, 31, 4.4
AUS2, 2020, D0_14, m, 32, 4.7
AUS2, 2020, D0_14, m, 33, 4.7
AUS2, 2020, D0_14, m, 34, 4.7
AUS2, 2020, D0_14, m, 35, 4.8
AUS2, 2020, D0_14, m, 36, 4.4
AUS2, 2020, D0_14, m, 37, 4.4
AUS2, 2020, D0_14, m, 38, 5.1
AUS2, 2020, D0_14, m, 39, 4.6
AUS2, 2020, D0_14, m, 40, 4.2
AUS2, 2020, D0_14, m, 41, 4.5
AUS2, 2020, D0_14, m, 42, 4.7
AUS2, 2020, D0_14, m, 43, 4.4
AUS2, 2020, D0_14, m, 44, 4.3
AUS2, 2020, D0_14, m, 45, 4.1
AUS2, 2020, D0_14, m, 46, 4.9
AUS2, 2020, D0_14, m, 47, 4.4
AUS2, 2020, D0_14, m, 48, 4.5
AUS2, 2020, D0_14, m, 49, 4.1
AUS2, 2020, D0_14, m, 50, 5.2
AUS2, 2020, D0_14, m, 51, 4.7
AUS2, 2020, D0_14, m, 52, 4.2
AUS2, 2020, D0_14, m, 53, 4.2
AUS2, 2021, D0_14, m, 1, 4.4
AUS2, 2021, D0_14, m, 2, 4.8
AUS2, 2021, D0_14, m, 3, 4.2
AUS2, 2021, D0_14, m, 4, 4.4
AUS2, 2021, D0_14, m, 5, 3.5
AUS2, 2021, D0_14, m, 6, 4.1
AUS2, 2021, D0_14, m, 7, 4.5
AUS2, 2021, D0_14, m, 8, 5.4
AUS2, 2021, D0_14, m, 9, 4.3
AUS2, 2021, D0_14, m, 10, 4.8
AUS2, 2021, D0_14, m, 11, 4.4
AUS2, 2021, D0_14, m, 12, 4.4
AUS2, 2021, D0_14, m, 13, 4.2
AUS2, 2021, D0_14, m, 14, 4.3
AUS2, 2021, D0_14, m, 15, 3.9
AUS2, 2021, D0_14, m, 16, 4.4
AUS2, 2021, D0_14, m, 17, 4.7
AUS2, 2021, D0_14, m, 18, 4.3
AUS2, 2021, D0_14, m, 19, 3.9
AUS2, 2021, D0_14, m, 20, 4.3
AUS2, 2021, D0_14, m, 21, 4.1
AUS2, 2021, D0_14, m, 22, 4.8
AUS2, 2021, D0_14, m, 23, 5.4
AUS2, 2021, D0_14, m, 24, 4.8
AUS2, 2021, D0_14, m, 25, 4.2
AUS2, 2021, D0_14, m, 26, 4.5
AUS2, 2021, D0_14, m, 27, 5.1
AUS2, 2021, D0_14, m, 28, 5.0
AUS2, 2021, D0_14, m, 29, 4.7
AUS2, 2021, D0_14, m, 30, 4.6
AUS2, 2021, D0_14, m, 31, 4.3
AUS2, 2021, D0_14, m, 32, 4.6
AUS2, 2021, D0_14, m, 33, 4.6
AUS2, 2021, D0_14, m, 34, 4.7
AUS2, 2021, D0_14, m, 35, 4.7
AUS2, 2021, D0_14, m, 36, 4.3
AUS2, 2021, D0_14, m, 37, 4.4
AUS2, 2021, D0_14, m, 38, 5.1
AUS2, 2021, D0_14, m, 39, 4.5
AUS2, 2021, D0_14, m, 40, 4.2
AUS2, 2021, D0_14, m, 41, 4.5
