Country,Data type,COVID-19 deaths,Excess deaths,Excess deaths std,t-statistic,Undercount ratio,Excess per 100k,Excess as % of annual baseline
Albania,m,1181,6004,671,9.0,5.08,208.6,27.6
Andorra,m,84,81,26,3.1,0.97,105.4,24.7
Argentina,m,43163,42246,6384,6.6,0.98,93.5,12.5
Armenia,m,2818,5847,651,9.0,2.08,197.3,23.1
Aruba,m,49,51,34,1.5,1.04,47.8,7.5
Australia,w,909,-4285,867,4.9,nan,-16.8,-2.9
Austria,w,6413,8523,1014,8.4,1.33,94.6,10.2
Azerbaijan,m,2609,15309,1222,12.5,5.87,151.0,27.1
Belarus,m,392,nan,nan,nan,nan,nan,nan
Belgium,w,19720,17421,1338,13.0,0.88,150.3,15.7
Bermuda,m,10,27,24,1.1,2.71,43.4,4.9
Bolivia,m,9149,22079,569,38.8,2.41,189.1,41.9
Bosnia,m,4072,7307,814,9.0,1.79,222.7,20.2
Brazil,m,193875,202293,10558,19.2,1.04,95.2,14.8
Bulgaria,w,7576,18042,1303,13.8,2.38,259.7,16.4
Canada,w,15472,16494,1536,10.7,1.07,43.7,5.6
Chile,w,16608,14449,812,17.8,0.87,75.6,12.8
Colombia,w,42909,49912,1164,42.9,1.16,98.1,19.7
Costa Rica,m,2171,938,374,2.5,0.43,18.4,3.7
Croatia,w,3961,6320,746,8.5,1.60,154.0,12.0
Cuba,m,146,578,2086,0.3,nan,5.1,0.5
Cyprus,w,125,79,125,0.6,0.63,6.5,1.3
Czechia,w,11976,17389,1388,12.5,1.45,162.4,15.1
Denmark,w,1298,259,437,0.6,0.20,4.5,0.5
Ecuador,w,14034,39627,692,57.3,2.82,224.6,51.4
Egypt,m,7631,105410,13461,7.8,13.81,103.0,18.8
El Salvador,m,717,nan,nan,nan,nan,nan,nan
Estonia,w,234,589,215,2.7,2.52,44.4,3.7
Finland,w,561,1181,491,2.4,2.10,21.3,2.1
France,w,64254,54903,5815,9.4,0.85,84.1,8.9
French Guiana,w,71,-42,43,1.0,nan,-14.0,-4.1
French Polynesia,m,114,-17,70,0.2,nan,-6.2,-1.0
