Country,Data type,COVID-19 deaths,Expected deaths,Excess deaths,Excess deaths std,t-statistic,Undercount ratio,Excess per 100k,Excess as % of annual baseline
Albania,m,3217,43529,14656,1460,10.0,4.56,509.3,67.3
Algeria,m,6276,375781,49889,2331,21.4,7.95,113.8,26.9
Andorra,m,140,664,90,30,3.0,0.64,116.4,27.3
Antigua and Barbuda,m,119,1283,-60,91,0.7,nan,-61.6,-9.5
Argentina,m,118213,673739,41948,7257,5.8,0.35,92.8,12.4
Armenia,m,7975,50127,15882,1416,11.2,1.99,536.0,62.7
Aruba,m,181,1355,352,74,4.7,1.94,329.5,51.6
Australia,w,2239,338352,-10831,2183,5.0,nan,-42.5,-6.4
Austria,w,16829,166136,15292,2196,7.0,0.91,169.8,18.3
Azerbaijan,m,8358,112696,35829,2659,13.5,4.29,353.4,63.5
Barbados,m,69,nan,nan,nan,nan,nan,nan,nan
Belarus,m,2247,nan,nan,nan,nan,nan,nan,nan
Belgium,w,28403,219961,19174,2897,6.6,0.68,165.4,17.3
Belize,m,598,4107,127,68,1.9,0.21,31.9,6.3
Bermuda,m,110,1116,16,27,0.6,nan,25.2,2.9
Bolivia,m,19680,106076,55330,1238,44.7,2.81,474.0,105.0
Bosnia,m,13442,72183,19123,1772,10.8,1.42,582.9,52.8
Brazil,m,618984,2745992,698990,22982,30.4,1.13,328.8,51.2
Brunei,m,57,3578,-17,79,0.2,nan,-3.8,-0.9
Bulgaria,w,30955,216863,58342,2822,20.7,1.88,839.6,53.1
Cabo Verde,m,352,5568,188,113,1.7,0.53,33.9,6.8
Canada,w,29468,nan,nan,nan,nan,nan,nan,nan
Chile,w,39115,225512,39031,1866,20.9,1.00,204.2,34.6
Colombia,w,129901,502988,163405,2514,65.0,1.26,321.1,65.1
Costa Rica,m,7357,51344,5946,814,7.3,0.81,116.7,23.5
Croatia,w,12538,103640,16943,1616,10.5,1.35,412.7,32.2
Cuba,m,8322,226448,495,2372,0.2,0.06,4.4,0.4
Cyprus,w,648,12600,798,271,2.9,1.23,66.1,12.6
Czechia,w,36348,229041,41628,3007,13.8,1.15,388.7,36.1
Denmark,w,3274,111545,962,947,1.0,0.29,16.6,1.7
Dominican Republic,m,4130,nan,nan,nan,nan,nan,nan,nan
Ecuador,w,33672,154825,66703,1499,44.5,1.98,378.1,86.5
Egypt,m,21752,1120940,277346,29302,9.5,12.75,271.0,49.5
El Salvador,m,717,nan,nan,nan,nan,nan,nan,nan
Estonia,w,1938,31551,3209,466,6.9,1.66,241.9,20.2
Faroe Islands,m,14,860,-66,50,1.3,nan,-134.5,-15.4
Finland,w,1748,110827,2661,1063,2.5,1.52,48.0,4.8
France,w,121148,1226128,78132,12592,6.2,0.64,119.7,12.7
French Guiana,w,339,2089,205,93,2.2,0.60,68.5,19.8
French Polynesia,m,621,nan,nan,nan,nan,nan,nan,nan
Georgia,m,13860,89939,20504,2211,9.3,1.48,514.0,45.1
Germany,w,117745,1928828,85089,22816,3.7,0.72,101.6,8.8
Gibraltar,m,75,nan,nan,nan,nan,nan,nan,nan
Greece,w,20790,252196,24356,3385,7.2,1.17,233.7,19.2
Greenland,m,1,1104,-54,75,0.7,nan,-94.4,-9.8
Guadeloupe,w,832,7104,1129,180,6.3,1.36,282.2,31.9
Guatemala,w,16095,nan,nan,nan,nan,nan,nan,nan
Hong Kong,m,213,98815,3019,1947,1.6,nan,40.3,6.1
Hungary,w,39186,262214,36042,3735,9.7,0.92,373.1,27.2
Iceland,w,37,4614,63,136,0.5,1.69,18.4,2.7
Iran,w,131606,789510,251090,10317,24.3,1.91,298.9,63.5
Ireland,m,6090,63380,2955,1174,2.5,0.49,59.8,9.4
Israel,w,8258,92899,7253,882,8.2,0.88,83.8,15.5
Italy,w,137402,1294889,168127,16042,10.5,1.22,278.1,25.7
Jamaica,m,2392,nan,nan,nan,nan,nan,nan,nan
Japan,m,18393,2849981,-13148,19731,0.7,nan,-10.4,-0.9
Jordan,m,12653,57363,4569,955,4.8,0.36,44.8,16.0
Kazakhstan,m,18231,265284,80686,5697,14.2,4.43,429.7,60.9
Kosovo,m,2980,19610,6018,340,17.7,2.02,326.1,62.3
Kuwait,m,2468,14928,3211,164,19.6,1.30,75.2,43.6
Kyrgyzstan,m,2802,64638,14532,1133,12.8,5.19,222.7,44.7
Latvia,w,4570,56472,7015,688,10.2,1.54,371.9,24.5
Lebanon,m,9119,50193,15149,1638,9.2,1.66,222.0,60.3
Liechtenstein,m,69,541,46,46,1.0,0.67,120.4,17.0
Lithuania,w,7412,75009,16045,935,17.2,2.16,589.4,41.9
Luxembourg,w,916,9091,28,216,0.1,0.03,4.5,0.6
Macao,m,0,4237,313,186,1.7,nan,48.2,14.7
Malaysia,m,26335,nan,nan,nan,nan,nan,nan,nan
Maldives,m,262,2210,161,62,2.6,0.61,29.7,14.4
Malta,w,477,7759,408,198,2.1,0.86,92.5,10.5
Martinique,w,784,7312,934,167,5.6,1.19,248.8,25.6
Mauritius,m,786,23236,1098,409,2.7,1.40,86.4,9.6
Mayotte,w,185,1616,412,77,5.3,2.22,150.9,51.5
