,Январь 2020,Февраль 2020,Март 2020,Апрель 2020,Май 2020,Июнь 2020,Июль 2020,Август 2020,Сентябрь 2020,Октябрь 2020,Ноябрь 2020,Декабрь 2020,Январь 2021,Февраль 2021,Март 2021,Апрель 2021,Май 2021,Июнь 2021,Июль 2021,Август 2021,Сентябрь 2021,Октябрь 2021,Ноябрь 2021,Декабрь 2021,Январь 2022,Февраль 2022,Март 2022,Апрель 2022,Май 2022,Июнь 2022,Июль 2022,Август 2022,Сентябрь 2022,Октябрь 2022,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023
Российская Федерация,-5538,3749,-926,5313,22877,24496,33284,20524,26747,69130,89219,83910,58604,29313,23527,18258,23242,46876,77662,70081,67373,122010,105360,61743,33793,59451,29973,570,2160,-2087,-1908,6388,17484,9192,8031,26310,8937,-3668,9767,-4208
Белгородская область,-100,-84,-37,-58,59,242,123,185,296,1273,1035,697,518,347,217,126,222,240,395,439,718,2330,1736,561,171,472,430,3,21,-61,-61,58,165,186,31,287,74,-102,174,-97
Брянская область,-45,47,-25,68,210,334,165,123,156,439,701,713,666,499,226,221,192,725,864,583,529,956,1081,468,315,588,348,43,-19,-15,3,-46,192,156,39,119,-15,17,91,-58
Владимирская область,-54,96,-16,24,379,396,265,232,189,501,941,989,703,358,197,167,288,883,964,630,703,1433,1337,763,474,832,415,12,116,-9,10,143,186,135,114,261,58,-46,71,13
Воронежская область,-106,-69,-45,25,81,362,288,283,495,1673,1540,1278,1002,541,404,355,521,841,1027,1160,1565,3955,2556,892,432,737,656,210,187,-19,-36,192,555,278,386,530,168,59,222,91
Ивановская область,-91,92,-146,-54,19,145,101,48,127,385,699,537,305,241,75,74,86,374,258,291,422,1241,844,425,148,510,174,-92,-95,-82,-115,-53,98,-54,-36,149,-73,-150,23,-119
Калужская область,-137,42,-24,-41,269,343,33,131,114,455,766,713,427,275,103,144,180,356,511,294,421,928,897,403,200,471,211,-73,14,-43,-90,20,78,-88,-5,153,20,-111,2,-81
Костромская область,-44,78,-25,25,86,31,44,94,162,329,434,350,274,190,138,76,105,222,291,324,469,937,626,291,89,318,209,36,49,55,64,39,139,164,102,165,69,18,68,11
Курская область,-133,21,-15,92,320,294,178,69,88,537,996,753,678,435,303,268,338,369,587,520,651,1356,1316,746,321,576,376,-5,58,-51,-37,62,245,77,97,258,45,-91,97,-97
Липецкая область,-88,94,33,94,195,340,185,292,481,928,903,809,691,472,414,225,350,393,587,686,885,1736,1120,541,246,495,346,124,-4,9,36,24,282,126,86,266,128,16,104,19
