,Excess deaths,Excess as % of annual baseline,"Excess per 100,000",Undercount
Российская Федерация,1081613.0,61.0,736.0,3.3
Белгородская область,11632.0,56.0,751.0,6.0
Брянская область,9655.0,55.0,807.0,3.0
Владимирская область,12266.0,59.0,900.0,4.0
Воронежская область,20417.0,62.0,877.0,2.8
Ивановская область,6537.0,41.0,653.0,2.4
Калужская область,7788.0,53.0,774.0,6.0
Костромская область,5285.0,59.0,831.0,4.5
Курская область,10831.0,66.0,979.0,5.0
Липецкая область,12145.0,76.0,1063.0,4.0
Московская область,58797.0,65.0,769.0,4.4
Орловская область,6605.0,59.0,896.0,4.1
Рязанская область,11089.0,67.0,997.0,3.9
Смоленская область,7565.0,54.0,805.0,2.9
Тамбовская область,9218.0,62.0,911.0,4.7
Тверская область,10300.0,51.0,814.0,4.2
Тульская область,12873.0,56.0,874.0,2.8
Ярославская область,10873.0,60.0,865.0,5.2
Москва,86359.0,71.0,682.0,2.2
Республика Карелия,5524.0,64.0,896.0,4.2
Республика Коми,5197.0,54.0,629.0,1.9
Ненецкий АО,224.0,59.0,510.0,2.5
Архангельская область без АО,7557.0,53.0,689.0,4.8
Вологодская область,7275.0,45.0,624.0,2.3
Калининградская область,6266.0,53.0,622.0,4.3
Ленинградская область,15161.0,66.0,814.0,4.8
Мурманская область,5018.0,60.0,673.0,1.7
Новгородская область,4914.0,51.0,821.0,5.9
Псковская область,4945.0,48.0,787.0,3.4
Санкт-Петербург,41814.0,71.0,775.0,1.4
Республика Адыгея,2518.0,45.0,548.0,3.1
Республика Калмыкия,1560.0,61.0,573.0,2.0
Республика Крым,14566.0,56.0,761.0,3.1
Краснодарский край,44612.0,65.0,787.0,4.4
Астраханская область,7748.0,69.0,767.0,2.9
Волгоградская область,22221.0,69.0,889.0,3.7
Ростовская область,34546.0,62.0,822.0,3.4
Севастополь,2903.0,52.0,650.0,1.5
Республика Дагестан,10408.0,72.0,335.0,3.1
Республика Ингушетия,1163.0,76.0,231.0,2.3
Кабардино-Балкария,4252.0,60.0,490.0,2.7
Карачаево-Черкесия,2639.0,64.0,566.0,2.8
Северная Осетия,4489.0,63.0,643.0,4.1
Чеченская Республика,5818.0,93.0,396.0,5.8
Ставропольский край,17076.0,54.0,609.0,2.6
Республика Башкортостан,31143.0,65.0,770.0,6.5
Республика Марий Эл,5324.0,67.0,783.0,5.5
Республика Мордовия,7480.0,73.0,943.0,6.5
Республика Татарстан,30129.0,71.0,772.0,18.9
Удмуртская Республика,10032.0,58.0,666.0,3.0
Чувашская Республика,9599.0,64.0,786.0,2.3
Пермский край,17393.0,51.0,667.0,2.2
Кировская область,9966.0,55.0,786.0,12.1
Нижегородская область,26771.0,58.0,834.0,2.5
Оренбургская область,18564.0,74.0,947.0,5.2
Пензенская область,12204.0,67.0,930.0,2.5
Самарская область,28621.0,69.0,899.0,4.3
Саратовская область,23917.0,72.0,983.0,4.5
Ульяновская область,11261.0,67.0,912.0,2.8
Курганская область,6530.0,53.0,785.0,6.2
Свердловская область,32518.0,57.0,753.0,3.3
Ханты-Мансийский АО,7047.0,69.0,422.0,3.2
Ямало-Hенецкий АО,1896.0,78.0,349.0,1.9
Тюменская область без АО,8622.0,53.0,564.0,2.3
Челябинская область,27362.0,61.0,788.0,4.2
Республика Алтай,1038.0,48.0,473.0,1.9
Республика Тыва,997.0,39.0,306.0,3.0
Республика Хакасия,3208.0,49.0,599.0,1.5
Алтайский край,17655.0,54.0,759.0,2.4
Красноярский край,19071.0,54.0,664.0,2.0
Иркутская область,16914.0,55.0,706.0,2.3
Кемеровская область,15832.0,42.0,593.0,8.3
Новосибирская область,19712.0,55.0,705.0,4.2
Омская область,16194.0,67.0,836.0,4.6
Томская область,6970.0,58.0,646.0,9.9
Республика Бурятия,4610.0,43.0,468.0,1.8
Забайкальский край,5750.0,45.0,541.0,2.8
Якутия,5115.0,69.0,527.0,2.7
Камчатский край,1688.0,49.0,537.0,3.1
Приморский край,10905.0,42.0,574.0,6.4
Хабаровский край,8771.0,51.0,665.0,6.5
Амурская область,5892.0,54.0,744.0,8.7
Магаданская область,676.0,42.0,480.0,1.9
Сахалинская область,2640.0,44.0,540.0,4.1
Еврейская АО,1278.0,61.0,803.0,2.8
Чукотский АО,102.0,21.0,206.0,2.6
