region,06.02.2021,05.02.2021,04.02.2021,03.02.2021,02.02.2021,01.02.2021,31.01.2021,30.01.2021,29.01.2021,28.01.2021,27.01.2021,26.01.2021,25.01.2021,24.01.2021,23.01.2021,22.01.2021,21.01.2021,20.01.2021,19.01.2021,18.01.2021,17.01.2021,16.01.2021,15.01.2021,14.01.2021,13.01.2021,12.01.2021,11.01.2021,10.01.2021,09.01.2021,08.01.2021,07.01.2021,06.01.2021,05.01.2021,04.01.2021,03.01.2021,02.01.2021,01.01.2021,31.12.2020,30.12.2020,29.12.2020,28.12.2020,27.12.2020,26.12.2020,25.12.2020,24.12.2020,23.12.2020,22.12.2020,21.12.2020,20.12.2020,19.12.2020,18.12.2020,17.12.2020,16.12.2020,15.12.2020,14.12.2020,13.12.2020,12.12.2020,11.12.2020,10.12.2020,09.12.2020,08.12.2020,07.12.2020,06.12.2020,05.12.2020,04.12.2020,03.12.2020,02.12.2020,01.12.2020,30.11.2020,29.11.2020,28.11.2020,27.11.2020,26.11.2020,25.11.2020,24.11.2020,23.11.2020,22.11.2020,21.11.2020,20.11.2020,19.11.2020,18.11.2020,17.11.2020,16.11.2020,15.11.2020,14.11.2020,13.11.2020,12.11.2020,11.11.2020,10.11.2020,09.11.2020,08.11.2020,07.11.2020,06.11.2020,05.11.2020,04.11.2020,03.11.2020,02.11.2020,01.11.2020,31.10.2020,30.10.2020,29.10.2020,28.10.2020,27.10.2020,26.10.2020,25.10.2020,24.10.2020,23.10.2020,22.10.2020,21.10.2020,20.10.2020,19.10.2020,18.10.2020,17.10.2020,16.10.2020,15.10.2020,14.10.2020,13.10.2020,12.10.2020,11.10.2020,10.10.2020,09.10.2020,08.10.2020,07.10.2020,06.10.2020,05.10.2020,04.10.2020,03.10.2020,02.10.2020,01.10.2020,30.09.2020,29.09.2020,28.09.2020,27.09.2020,26.09.2020,25.09.2020,24.09.2020,23.09.2020,22.09.2020,21.09.2020,20.09.2020,19.09.2020,18.09.2020,17.09.2020,16.09.2020,15.09.2020,14.09.2020,13.09.2020,12.09.2020,11.09.2020,10.09.2020,09.09.2020,08.09.2020,07.09.2020,06.09.2020,05.09.2020,04.09.2020,03.09.2020,02.09.2020,01.09.2020,31.08.2020,30.08.2020,29.08.2020,28.08.2020,27.08.2020,26.08.2020,25.08.2020,24.08.2020,23.08.2020,22.08.2020,21.08.2020,20.08.2020,19.08.2020,18.08.2020,17.08.2020,16.08.2020,15.08.2020,14.08.2020,13.08.2020,12.08.2020,11.08.2020,10.08.2020,09.08.2020,08.08.2020,07.08.2020,06.08.2020,05.08.2020,04.08.2020,03.08.2020,02.08.2020,01.08.2020,31.07.2020,30.07.2020,29.07.2020,28.07.2020,27.07.2020,26.07.2020,25.07.2020,24.07.2020,23.07.2020,22.07.2020,21.07.2020,20.07.2020,19.07.2020,18.07.2020,17.07.2020,16.07.2020,15.07.2020,14.07.2020,13.07.2020,12.07.2020,11.07.2020,10.07.2020,09.07.2020,08.07.2020,07.07.2020,06.07.2020,05.07.2020,04.07.2020,03.07.2020,02.07.2020,01.07.2020,30.06.2020,29.06.2020,28.06.2020,27.06.2020,26.06.2020,25.06.2020,24.06.2020,23.06.2020,22.06.2020,21.06.2020,20.06.2020,19.06.2020,18.06.2020,17.06.2020,16.06.2020,15.06.2020,14.06.2020,13.06.2020,12.06.2020,11.06.2020,10.06.2020,09.06.2020,08.06.2020,07.06.2020,06.06.2020,05.06.2020,04.06.2020,03.06.2020,02.06.2020,01.06.2020,31.05.2020,30.05.2020,29.05.2020,28.05.2020,27.05.2020,26.05.2020,25.05.2020,24.05.2020,23.05.2020,22.05.2020,21.05.2020,20.05.2020,19.05.2020,18.05.2020,17.05.2020,16.05.2020,15.05.2020,14.05.2020,13.05.2020,12.05.2020,11.05.2020,10.05.2020,09.05.2020,08.05.2020,07.05.2020,06.05.2020,05.05.2020,04.05.2020,03.05.2020,02.05.2020,01.05.2020,30.04.2020,29.04.2020,28.04.2020,27.04.2020,26.04.2020,25.04.2020,24.04.2020,23.04.2020,22.04.2020,21.04.2020,20.04.2020,19.04.2020,18.04.2020,17.04.2020,16.04.2020,15.04.2020,14.04.2020,13.04.2020,12.04.2020,11.04.2020,10.04.2020,09.04.2020,08.04.2020,07.04.2020,06.04.2020,05.04.2020,04.04.2020,03.04.2020,02.04.2020,01.04.2020,31.03.2020,30.03.2020,29.03.2020,28.03.2020,27.03.2020,26.03.2020
Алтайский край,40084,39905,39724,39544,39362,39184,39004,38823,38640,38455,38271,38084,37895,37703,37509,37316,37124,36929,36736,36542,36347,36150,35950,35752,35556,35357,35160,34962,34764,34565,34365,34162,33957,33748,33542,33334,33124,32912,32699,32488,32276,32062,31846,31627,31410,31194,30979,30765,30548,30333,30117,29899,29682,29463,29245,29025,28803,28579,28356,28132,27910,27691,27471,27249,27025,26800,26577,26351,26129,25905,25678,25450,25225,25001,24774,24546,24316,24084,23853,23620,23386,23154,22919,22683,22445,22204,21967,21731,21499,21265,21034,20799,20568,20339,20113,19892,19667,19440,19217,19000,18781,18565,18347,18133,17923,17716,17510,17306,17103,16898,16593,16408,16223,16039,15858,15680,15508,15338,15169,15007,14853,14711,14577,14448,14334,14230,14125,14022,13921,13823,13728,13635,13546,13459,13378,13298,13217,13138,13060,12987,12914,12846,12780,12716,12651,12588,12528,12466,12405,12342,12280,12216,12156,12094,12033,11970,11908,11844,11781,11720,11655,11591,11523,11456,11387,11317,11251,11186,11115,11042,10968,10887,10802,10711,10623,10534,10445,10360,10273,10185,10094,9999,9907,9809,9714,9622,9528,9433,9326,9217,9109,8998,8893,8786,8665,8531,8391,8253,8107,7941,7758,7573,7382,7184,6983,6755,6540,6294,6056,5821,5589,5361,5121,4897,4709,4538,4414,4299,4207,4134,4059,3985,3909,3831,3753,3676,3600,3522,3445,3371,3298,3226,3153,3078,3010,2939,2867,2795,2726,2659,2593,2524,2458,2390,2319,2255,2192,2135,2066,1985,1915,1848,1779,1708,1633,1554,1485,1406,1325,1254,1185,1111,1054,1014,970,925,885,847,809,770,727,707,669,641,621,605,588,555,534,498,451,423,382,348,324,310,283,215,152,144,136,127,84,72,63,53,48,39,36,31,29,29,21,21,18,12,12,7,7,4,4,3,2,1,0,0,0,0
Амурская область,19986,19906,19822,19734,19651,19564,19481,19396,19306,19217,19126,19031,18924,18813,18698,18585,18468,18346,18221,18095,17972,17852,17736,17621,17503,17388,17269,17148,17025,16907,16782,16660,16533,16401,16273,16140,16004,15866,15735,15599,15459,15324,15186,15045,14902,14761,14621,14479,14342,14201,14054,13911,13763,13611,13462,13311,13161,13014,12866,12720,12576,12431,12284,12138,11990,11841,11689,11536,11380,11225,11071,10914,10758,10601,10445,10288,10133,9977,9820,9666,9510,9355,9198,9039,8878,8713,8542,8373,8205,8039,7874,7707,7543,7382,7220,7061,6903,6747,6602,6463,6331,6203,6092,5983,5871,5763,5659,5553,5450,5345,5264,5201,5133,5068,5007,4945,4887,4833,4776,4721,4664,4611,4562,4519,4477,4437,4401,4362,4326,4291,4259,4229,4201,4171,4139,4108,4078,4050,4021,3989,3959,3928,3895,3867,3842,3816,3789,3761,3731,3700,3671,3641,3608,3572,3537,3508,3479,3449,3418,3386,3355,3326,3299,3274,3250,3228,3208,3189,3172,3157,3140,3118,3098,3081,3060,3042,3025,3010,2997,2981,2966,2948,2929,2909,2887,2866,2845,2824,2801,2776,2752,2724,2689,2660,2632,2600,2566,2534,2506,2478,2451,2423,2393,2354,2314,2271,2227,2185,2143,2097,2057,2019,1975,1944,1917,1889,1860,1826,1795,1765,1734,1707,1682,1651,1610,1572,1528,1490,1444,1399,1340,1283,1230,1181,1138,1100,1062,1018,973,914,873,835,796,748,702,657,615,588,566,546,528,506,486,461,433,414,401,385,355,340,317,294,277,247,238,222,212,204,194,182,169,152,140,135,123,112,106,98,84,79,72,67,56,46,41,40,36,33,28,25,23,20,20,16,14,11,9,6,6,6,17,6,4,4,4,4,4,4,4,1,1,1,1,1,1,0,0,0
Архангельская область,52664,52427,52187,51946,51705,51465,51223,50980,50742,50500,50256,50013,49765,49507,49257,49004,48755,48503,48246,47985,47721,47446,47173,46915,46678,46439,46196,45951,45710,45468,45235,44998,44755,44504,44249,44020,43679,43327,42968,42605,42233,41859,41489,41118,40743,40358,39965,39577,39183,38786,38391,37998,37599,37202,36800,36397,35996,35591,35184,34792,34396,33998,33603,33207,32808,32411,32012,31617,31230,30851,30477,30110,29749,29393,29032,28681,28328,27983,27651,27312,26978,26639,26288,25942,25599,25254,24915,24575,24237,23896,23554,23204,22845,22476,22099,21710,21323,20945,20580,20246,19921,19602,19285,18973,18675,18389,18117,17854,17598,17351,17105,16877,16659,16452,16255,16062,15867,15669,15427,15181,14982,14799,14617,14438,14251,14072,13896,13736,13589,13448,13317,13193,13078,12963,12853,12755,12653,12562,12481,12384,12290,12193,12090,12007,11932,11844,11753,11657,11574,11491,11406,11337,11269,11191,11131,11059,10985,10937,10888,10825,10783,10702,10602,10515,10442,10382,10358,10306,10225,10136,10059,9988,9921,9838,9768,9697,9630,9547,9479,9414,9366,9303,9235,9165,9101,9040,8969,8901,8842,8767,8710,8641,8565,8497,8434,8365,8291,8225,8157,8081,7989,7908,7819,7712,7608,7492,7370,7251,7122,6988,6873,6759,6647,6534,6419,6300,6196,6026,5909,5790,5674,5556,5454,5339,5225,5107,4992,4875,4755,4631,4524,4395,4274,4156,4035,3912,3803,3696,3587,3474,3362,3217,3085,2989,2868,2746,2621,2496,2363,2124,2068,1933,1796,1638,1537,1410,1315,1146,1020,925,888,858,817,792,720,688,638,586,554,513,494,457,425,400,372,354,329,305,299,260,238,213,198,185,181,175,167,147,137,123,120,118,114,107,39,34,33,32,32,31,24,24,24,24,14,14,14,8,8,8,7,7,7,7,3,3,3,3
Астраханская область,25424,25269,25112,24956,24794,24630,24461,24293,24123,23951,23780,23606,23431,23252,23072,22887,22700,22514,22328,22140,21955,21770,21588,21408,21233,21065,20894,20724,20552,20383,20216,20045,19877,19708,19537,19361,19187,19010,18835,18659,18481,18304,18125,17946,17768,17584,17401,17221,17041,16860,16678,16499,16321,16140,15961,15784,15610,15440,15273,15109,14949,14792,14639,14483,14329,14177,14024,13869,13715,13561,13406,13253,13102,12952,12802,12656,12509,12364,12222,12082,11938,11797,11658,11523,11385,11251,11115,10980,10848,10716,10586,10455,10326,10199,10074,9946,9820,9695,9570,9446,9324,9204,9083,8964,8846,8731,8626,8524,8425,8338,8245,8168,8093,8020,7949,7879,7811,7746,7684,7624,7566,7509,7454,7401,7352,7301,7251,7202,7154,7109,7068,7012,6955,6899,6856,6804,6749,6698,6653,6604,6550,6504,6457,6409,6356,6305,6263,6218,6168,6115,6076,6026,5978,5935,5894,5844,5809,5771,5730,5693,5658,5628,5591,5551,5508,5478,5445,5410,5369,5331,5294,5264,5229,5185,5148,5115,5079,5041,5006,4965,4928,4896,4865,4831,4792,4751,4717,4688,4657,4620,4569,4538,4503,4473,4437,4405,4371,4341,4311,4280,4245,4213,4176,4144,4086,4045,4013,3977,3943,3910,3873,3842,3806,3773,3738,3698,3656,3617,3577,3548,3513,3479,3448,3419,3382,3347,3307,3275,3242,3206,3158,3103,3046,2987,2927,2862,2794,2733,2674,2630,2586,2501,2420,2337,2293,2233,2172,2097,2004,1937,1883,1752,1693,1654,1614,1596,1558,1501,1348,1298,1247,1202,1154,1099,1065,1029,984,945,895,850,806,764,731,673,629,589,564,535,504,487,411,384,365,350,306,298,277,211,186,165,148,137,136,123,99,64,60,47,30,30,29,21,21,21,5,5,5,5,5,5,2,2,2,0,0,0,0,0
Белгородская область,28460,28295,28125,27959,27791,27620,27451,27279,27108,26934,26762,26586,26413,26238,26058,25875,25686,25494,25310,25132,24952,24769,24587,24403,24222,24043,23867,23686,23504,23324,23140,22951,22765,22574,22386,22201,22007,21817,21631,21444,21262,21082,20899,20713,20523,20338,20150,19964,19786,19605,19426,19244,19059,18878,18699,18522,18342,18160,17974,17791,17612,17437,17259,17083,16901,16722,16545,16377,16207,16038,15873,15700,15536,15365,15199,15037,14872,14702,14539,14371,14209,14043,13882,13720,13555,13393,13229,13072,12918,12758,12603,12462,12306,12164,12033,11914,11802,11694,11575,11461,11350,11248,11149,11046,10947,10846,10750,10652,10557,10458,10362,10267,10176,10080,9989,9895,9803,9719,9642,9564,9488,9410,9336,9267,9200,9135,9067,9000,8933,8864,8798,8735,8674,8607,8546,8483,8422,8365,8311,8260,8208,8152,8103,8056,8008,7962,7919,7874,7832,7786,7742,7699,7654,7610,7569,7531,7491,7449,7405,7365,7320,7279,7239,7195,7157,7117,7074,7033,6990,6944,6901,6854,6807,6762,6714,6665,6613,6562,6509,6461,6410,6360,6314,6269,6220,6169,6123,6083,6042,5998,5952,5910,5871,5829,5784,5745,5703,5656,5617,5571,5527,5486,5441,5398,5360,5319,5271,5227,5176,5128,5085,5038,4998,4950,4906,4857,4806,4749,4697,4637,4583,4524,4464,4399,4331,4261,4189,4120,4048,3976,3896,3820,3747,3666,3592,3514,3442,3364,3284,3207,3137,3061,2988,2913,2840,2769,2695,2624,2548,2471,2392,2310,2223,2140,2059,1980,1901,1825,1736,1654,1581,1499,1428,1361,1292,1222,1149,1073,994,942,852,798,707,659,613,574,540,524,485,454,419,383,355,327,299,269,242,221,202,176,144,122,112,90,81,70,58,45,41,31,31,26,26,18,18,14,11,7,7,6,6,5,5,5,2,1,1,1
Брянская область,30092,29926,29761,29594,29422,29252,29078,28901,28723,28543,28358,28171,27985,27797,27607,27414,27225,27034,26844,26657,26465,26264,26069,25878,25684,25494,25312,25124,24932,24737,24539,24341,24142,23945,23746,23544,23343,23139,22938,22735,22534,22335,22135,21933,21731,21528,21321,21121,20924,20721,20520,20321,20116,19919,19720,19524,19327,19132,18944,18754,18569,18395,18226,18050,17883,17720,17575,17427,17287,17145,17005,16862,16721,16581,16446,16345,16209,16071,15930,15791,15651,15511,15367,15221,15071,14911,14752,14595,14432,14271,14104,13935,13768,13608,13443,13280,13111,12949,12786,12633,12481,12334,12192,12053,11913,11772,11633,11495,11363,11237,11083,10960,10847,10737,10630,10536,10446,10360,10275,10183,10092,10000,9913,9829,9747,9673,9601,9534,9475,9421,9373,9333,9291,9239,9197,9155,9117,9078,9030,8978,8927,8878,8830,8782,8733,8687,8645,8606,8571,8533,8497,8465,8437,8405,8370,8337,8305,8278,8252,8227,8194,8159,8125,8097,8073,8047,8022,7993,7963,7934,7904,7889,7869,7852,7830,7805,7773,7739,7707,7677,7650,7622,7590,7565,7546,7522,7490,7460,7430,7400,7370,7340,7305,7272,7245,7221,7194,7164,7141,7116,7091,7068,7038,7008,6978,6947,6906,6862,6817,6770,6725,6679,6643,6603,6563,6522,6479,6429,6378,6325,6271,6212,6147,6079,6011,5941,5870,5801,5729,5655,5579,5498,5421,5345,5270,5183,5098,5011,4920,4825,4732,4641,4551,4458,4364,4269,4174,4078,3982,3885,3787,3685,3578,3473,3363,3254,3156,3057,2951,2840,2737,2632,2515,2405,2293,2178,2080,1995,1908,1826,1753,1678,1605,1537,1514,1442,1367,1287,1250,1148,1062,989,901,783,668,642,599,521,494,459,399,350,321,279,256,228,201,164,142,142,141,123,97,97,57,56,24,19,19,7,5,5,3,3,3,3,2,2
Владимирская область,24390,24239,24092,23943,23792,23645,23494,23341,23191,23042,22894,22743,22593,22441,22286,22130,21976,21823,21668,21511,21352,21192,21035,20877,20721,20566,20409,20251,20090,19928,19764,19599,19431,19261,19088,18913,18739,18563,18388,18211,18035,17857,17676,17497,17317,17134,16950,16764,16579,16392,16202,16014,15829,15647,15463,15272,15078,14892,14724,14560,14403,14250,14099,13949,13801,13656,13516,13377,13239,13099,12962,12827,12696,12567,12440,12311,12183,12053,11925,11799,11672,11543,11418,11294,11167,11041,10918,10800,10680,10566,10457,10344,10234,10126,10022,9915,9810,9710,9607,9508,9407,9310,9212,9117,9025,8935,8847,8762,8675,8589,8508,8426,8346,8267,8185,8107,8031,7959,7897,7830,7772,7716,7657,7600,7540,7483,7429,7381,7337,7295,7252,7211,7171,7132,7096,7067,7034,7003,6969,6937,6906,6871,6838,6806,6772,6740,6709,6679,6647,6614,6583,6551,6521,6493,6464,6437,6405,6374,6345,6318,6292,6264,6237,6212,6185,6159,6137,6114,6089,6066,6042,6017,5994,5972,5948,5923,5900,5876,5856,5835,5815,5794,5772,5748,5725,5705,5683,5659,5635,5610,5586,5563,5541,5516,5490,5462,5433,5402,5369,5333,5298,5261,5218,5177,5133,5091,5048,5006,4962,4917,4874,4829,4785,4739,4694,4647,4598,4552,4505,4456,4408,4362,4314,4263,4214,4160,4109,4056,4006,3954,3903,3850,3795,3739,3685,3629,3569,3512,3453,3390,3324,3260,3205,3151,3089,3026,2966,2908,2853,2797,2735,2676,2617,2554,2495,2434,2379,2322,2253,2194,2120,2043,1986,1920,1837,1738,1657,1592,1504,1459,1387,1326,1249,1166,1124,1079,1001,944,896,830,775,715,669,634,597,518,475,426,381,339,293,280,259,225,198,183,159,145,100,84,71,48,42,38,14,12,5,3,3,3,3,3,2,2,0,0,0,0
Волгоградская область,44745,44510,44277,44050,43821,43589,43352,43111,42868,42623,42381,42140,41897,41651,41399,41144,40891,40640,40384,40129,39871,39607,39345,39086,38823,38561,38301,38038,37777,37513,37251,36993,36738,36487,36229,35967,35699,35423,35148,34875,34604,34330,34052,33771,33492,33215,32941,32671,32403,32131,31855,31577,31302,31029,30761,30490,30216,29939,29675,29417,29156,28901,28649,28401,28150,27904,27655,27408,27165,26924,26680,26435,26193,25954,25717,25484,25255,25021,24783,24548,24316,24085,23856,23629,23405,23171,22945,22722,22493,22266,22041,21819,21601,21386,21169,20956,20745,20536,20324,20118,19919,19723,19525,19328,19133,18940,18746,18554,18363,18175,17987,17811,17636,17463,17291,17124,16955,16790,16629,16470,16315,16164,16021,15876,15735,15603,15474,15350,15231,15099,14993,14888,14786,14680,14577,14468,14360,14256,14158,14063,13965,13869,13772,13674,13570,13473,13375,13280,13183,13087,12993,12901,12806,12709,12607,12503,12407,12309,12216,12125,12030,11934,11836,11729,11617,11509,11411,11299,11190,11105,11023,10939,10852,10763,10668,10576,10480,10383,10281,10190,10095,9998,9892,9804,9711,9613,9517,9425,9328,9237,9142,9052,8958,8870,8778,8689,8602,8517,8431,8340,8244,8149,8056,7968,7879,7785,7694,7601,7516,7428,7332,7240,7146,7058,6969,6877,6783,6688,6597,6508,6419,6327,6232,6135,6037,5935,5825,5724,5622,5518,5410,5312,5207,5100,4991,4887,4783,4677,4569,4460,4346,4238,4122,4030,3913,3794,3669,3541,3432,3334,3215,3026,2868,2714,2581,2470,2384,2296,2207,2109,2002,1913,1831,1747,1661,1596,1531,1445,1355,1259,1135,1061,1012,893,791,711,647,578,516,474,432,386,344,313,297,272,242,212,186,165,145,134,111,93,79,62,58,47,46,44,38,33,28,26,26,26,15,8,8,8,8,8,4,4,4,4,4,1
Вологодская область,34517,34243,33967,33685,33405,33124,32839,32550,32264,31977,31692,31402,31111,30811,30512,30211,29911,29604,29303,28998,28688,28376,28067,27760,27455,27153,26850,26549,26245,25939,25636,25329,25019,24711,24398,24078,23761,23435,23081,22725,22374,22013,21656,21296,20932,20563,20189,19822,19458,19092,18727,18360,17990,17619,17251,16885,16515,16148,15783,15412,15044,14677,14308,13940,13569,13197,12838,12498,12176,11867,11566,11298,11037,10774,10519,10278,10047,9841,9665,9491,9319,9151,8999,8853,8710,8575,8439,8307,8173,8043,7915,7788,7663,7548,7438,7329,7224,7120,7015,6916,6818,6722,6627,6533,6440,6349,6254,6162,6071,5981,5892,5809,5726,5645,5561,5482,5407,5338,5273,5205,5136,5071,5009,4949,4893,4836,4780,4723,4673,4624,4576,4530,4483,4435,4388,4343,4300,4256,4211,4168,4124,4080,4037,3992,3950,3906,3865,3823,3784,3744,3707,3666,3632,3593,3557,3519,3486,3450,3416,3379,3346,3310,3278,3244,3212,3179,3148,3115,3083,3050,3018,2985,2952,2917,2881,2844,2801,2772,2743,2712,2684,2657,2628,2600,2571,2544,2516,2488,2461,2434,2406,2378,2351,2324,2297,2271,2245,2218,2192,2165,2140,2114,2088,2061,2032,2002,1972,1944,1915,1888,1856,1818,1790,1770,1749,1730,1709,1688,1666,1646,1628,1607,1586,1565,1546,1526,1508,1487,1466,1445,1428,1408,1386,1359,1335,1317,1302,1284,1254,1221,1189,1159,1137,1111,1084,1056,1035,1018,998,979,952,929,882,860,833,774,699,665,643,603,562,528,502,477,454,431,398,361,346,334,317,298,286,267,253,241,236,230,223,219,199,184,173,166,160,155,145,138,129,120,114,107,100,93,86,77,67,52,50,43,42,39,38,35,27,23,23,13,13,12,12,9,2,2,0,0,0,0
Воронежская область,60440,60071,59703,59332,58963,58592,58219,57844,57468,57090,56708,56324,55941,55556,55165,54778,54394,54008,53619,53228,52840,52453,52064,51669,51276,50888,50497,50105,49715,49323,48934,48540,48147,47757,47369,46980,46589,46205,45826,45445,45060,44673,44283,43894,43503,43110,42719,42331,41947,41561,41167,40779,40390,40003,39618,39237,38857,38470,38092,37711,37331,36952,36576,36201,35828,35468,35115,34764,34435,34110,33786,33442,33117,32794,32473,32155,31842,31525,31210,30898,30584,30270,29959,29653,29345,29035,28723,28414,28106,27799,27495,27190,26884,26580,26277,25973,25671,25370,25071,24773,24477,24185,23894,23618,23346,23077,22812,22556,22310,22067,21826,21589,21356,21132,20906,20689,20473,20262,20058,19855,19654,19459,19265,19074,18888,18706,18527,18350,18177,18006,17844,17679,17521,17360,17201,17037,16875,16723,16574,16414,16256,16105,15982,15867,15751,15639,15528,15418,15303,15192,15082,14969,14861,14752,14645,14540,14441,14340,14241,14144,14046,13947,13849,13736,13635,13538,13439,13342,13244,13150,13053,12954,12847,12752,12655,12560,12465,12372,12278,12185,12090,11994,11897,11800,11705,11609,11513,11419,11330,11242,11153,11065,10976,10890,10803,10714,10623,10524,10436,10347,10258,10168,10065,9960,9852,9743,9631,9516,9399,9280,9159,9036,8909,8778,8644,8505,8359,8211,8059,7908,7754,7588,7409,7224,7036,6846,6653,6457,6259,6062,5863,5663,5461,5258,5062,4861,4660,4440,4221,3993,3766,3527,3285,3065,2837,2698,2592,2466,2361,2234,2139,2028,1946,1857,1753,1643,1581,1518,1463,1419,1362,1307,1266,1246,1195,1151,1113,1074,1028,983,943,899,848,809,766,731,697,667,636,602,565,529,493,459,420,358,338,313,291,261,236,211,180,156,130,108,89,75,68,60,49,37,37,33,33,23,23,14,14,12,12,12,8,6,6,6,6,6
